ts_local	level	event	strip_name	device_id	channel	message
2026-07-09 14:15:10	INFO	strip_plan	ps2	98a3167b6a8c		slot=2026-07-09 14:15; target_strip_w=0; states=[0,0,0,0]
2026-07-09 14:15:10	INFO	strip_plan	ps3	98a3166b6128		slot=2026-07-09 14:15; target_strip_w=0; states=[0,0,0,0]
2026-07-09 14:15:10	INFO	load_change				LOAD CHANGE slot=2026-07-09 14:15 target=350W nominal=350W overshoot=0W states: ps1=[1,1,0,0]; ps2=[0,0,0,0]; ps3=[0,0,0,0]
2026-07-09 14:16:06	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:16:11	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:17:12	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:17:18	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:18:19	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:18:21	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 14:19:24	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:20:28	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:21:32	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:22:36	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:23:40	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:24:44	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:24:46	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 14:25:52	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:26:56	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:27:01	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:28:02	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:28:07	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:29:08	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:29:11	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 14:30:04	INFO	strip_plan	ps1	206ef102c9d8		slot=2026-07-09 14:30; target_strip_w=350; states=[1,1,0,0]
2026-07-09 14:30:04	INFO	strip_plan	ps2	98a3167b6a8c		slot=2026-07-09 14:30; target_strip_w=0; states=[0,0,0,0]
2026-07-09 14:30:04	INFO	strip_plan	ps3	98a3166b6128		slot=2026-07-09 14:30; target_strip_w=0; states=[0,0,0,0]
2026-07-09 14:30:04	INFO	load_change				LOAD CHANGE slot=2026-07-09 14:30 target=350W nominal=350W overshoot=0W states: ps1=[1,1,0,0]; ps2=[0,0,0,0]; ps3=[0,0,0,0]
2026-07-09 14:30:14	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:31:18	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:32:22	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:33:26	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:33:28	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 14:34:31	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:34:33	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 14:35:36	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:35:41	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:36:42	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:36:44	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 14:37:47	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:38:52	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:39:56	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:39:58	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 14:41:04	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:42:08	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:42:13	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:43:14	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:43:19	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:44:20	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:44:22	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 14:45:07	INFO	strip_plan	ps1	206ef102c9d8		slot=2026-07-09 14:45; target_strip_w=350; states=[1,1,0,0]
2026-07-09 14:45:07	INFO	strip_plan	ps2	98a3167b6a8c		slot=2026-07-09 14:45; target_strip_w=0; states=[0,0,0,0]
2026-07-09 14:45:07	INFO	strip_plan	ps3	98a3166b6128		slot=2026-07-09 14:45; target_strip_w=0; states=[0,0,0,0]
2026-07-09 14:45:07	INFO	load_change				LOAD CHANGE slot=2026-07-09 14:45 target=350W nominal=350W overshoot=0W states: ps1=[1,1,0,0]; ps2=[0,0,0,0]; ps3=[0,0,0,0]
2026-07-09 14:45:25	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:46:29	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:47:33	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:48:38	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:48:40	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 14:49:46	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:50:50	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:50:55	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:54:37	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:54:39	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 14:55:33	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:56:37	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:57:04	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 14:57:06	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 14:58:09	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 15:00:09	INFO	strip_plan	ps1	206ef102c9d8		slot=2026-07-09 15:00; target_strip_w=350; states=[1,1,0,0]
2026-07-09 15:00:09	INFO	strip_plan	ps2	98a3167b6a8c		slot=2026-07-09 15:00; target_strip_w=0; states=[0,0,0,0]
2026-07-09 15:00:09	INFO	strip_plan	ps3	98a3166b6128		slot=2026-07-09 15:00; target_strip_w=0; states=[0,0,0,0]
2026-07-09 15:00:09	INFO	load_change				LOAD CHANGE slot=2026-07-09 15:00 target=350W nominal=350W overshoot=0W states: ps1=[1,1,0,0]; ps2=[0,0,0,0]; ps3=[0,0,0,0]
