device_status	date	time	battery_voltage_V	pv1_voltage_V	pv2_voltage_V	SOC	capacity_Ah	total_charge_discharge_battery_A	pv1_current_A	pv2_current_A	module_current_A	total_batt_current_A	load_current_A	total_batt_discharge_current_A	temperature_C	error	charging_mode	AUX1	AUX2	AUX3	energy_input_24h_Ah	energy_input_tot_Ah	energy_output_24h_Ah	energy_output_tot_Ah	derating_Ah	checksum	pv1_power_W	pv2_power_W	pv_power_total_W
1	2026/09/02	17:16	50.5	65.9	65.6	#	#	45.4	10.7	10.7	#	22.2	#	22.2	24.1	0	B	1	1	0	187	4473	187	4287	0	9D09	705.13	701.92	1407.05
1	2026/09/02	17:17	48.1	64.0	62.5	#	#	44.2	11.3	11.4	#	21.5	#	21.5	24.1	0	B	1	1	0	188	4474	188	4288	0	3115	723.2	712.5	1435.7
1	2026/09/02	17:18	50.1	65.4	65.4	#	#	45.8	10.1	10.1	#	22.4	#	22.4	24.1	0	B	1	1	0	188	4474	188	4288	0	2272	660.54	660.54	1321.08
1	2026/09/02	17:19	50.3	65.6	66.4	#	#	42.8	9.5	9.2	#	20.7	#	20.7	24.1	0	B	1	0	0	188	4474	188	4288	0	338D	623.2	610.88	1234.08
1	2026/09/02	17:20	48.6	63.5	63.2	#	#	41.4	9.9	10.0	#	20.1	#	20.1	24.1	0	B	1	1	0	189	4475	189	4289	0	E990	628.65	632	1260.65
1	2026/09/02	17:21	50.8	66.3	65.9	#	#	39.0	9.3	9.3	#	19.1	#	19.1	24.1	0	B	1	1	0	189	4475	189	4289	0	E5DA	616.59	612.87	1229.46
1	2026/09/02	17:22	50.1	65.1	64.9	#	#	40.0	9.5	9.5	#	19.5	#	19.5	24.1	0	B	1	0	0	189	4475	189	4289	0	DFAB	618.45	616.55	1235
1	2026/09/02	17:23	48.3	63.1	64.5	#	#	39.5	9.9	9.9	#	19.2	#	19.2	24.1	0	B	1	1	0	190	4476	190	4290	0	FA23	624.69	638.55	1263.24
1	2026/09/02	17:24	50.5	66.0	65.9	#	#	39.3	8.9	8.9	#	19.1	#	19.1	24.1	0	B	1	1	0	190	4476	190	4290	0	8551	587.4	586.51	1173.91
1	2026/09/02	17:25	50.1	65.2	66.2	#	#	38.2	8.7	8.6	#	18.5	#	18.5	24.1	0	B	1	0	0	190	4476	190	4290	0	B013	567.24	569.32	1136.56
1	2026/09/02	17:26	48.4	63.4	63.3	#	#	37.4	8.7	8.7	#	18.3	#	18.3	24.1	0	B	1	1	0	191	4477	191	4291	0	EFB2	551.58	550.71	1102.29
1	2026/09/02	17:27	50.4	66.0	65.5	#	#	34.9	9.1	9.1	#	17.0	#	17.0	24.1	0	B	1	1	0	191	4477	191	4291	0	624C	600.6	596.05	1196.65
1	2026/09/02	17:28	48.0	62.7	62.5	#	#	36.0	10.4	10.5	#	17.6	#	17.6	24.1	0	B	1	1	0	191	4477	191	4291	0	8F01	652.08	656.25	1308.33
1	2026/09/02	17:29	49.7	66.5	65.1	#	#	40.9	9.2	9.3	#	20.1	#	20.1	24.1	0	B	1	1	0	192	4478	192	4292	0	0B0D	611.8	605.43	1217.23
1	2026/09/02	17:30	50.4	65.8	65.5	#	#	39.4	9.3	9.3	#	19.1	#	19.1	24.1	0	B	1	0	0	192	4478	192	4292	0	F15D	611.94	609.15	1221.09
1	2026/09/02	17:31	48.3	63.3	63.0	#	#	39.3	9.7	9.8	#	19.2	#	19.2	24.1	0	B	1	1	0	192	4478	192	4292	0	549F	614.01	617.4	1231.41
1	2026/09/02	17:32	50.7	66.0	65.9	#	#	38.5	8.3	8.3	#	18.8	#	18.8	24.1	0	B	1	1	0	193	4479	193	4293	0	C2F5	547.8	546.97	1094.77
1	2026/09/02	17:33	49.8	65.0	64.7	#	#	37.5	9.0	9.0	#	18.2	#	18.2	24.1	0	B	1	0	0	193	4479	193	4293	0	138F	585	582.3	1167.3
1	2026/09/02	17:34	49.6	64.8	64.7	#	#	35.4	9.3	9.3	#	17.3	#	17.3	24.1	0	B	1	1	0	193	4479	193	4293	0	6E65	602.64	601.71	1204.35
1	2026/09/02	17:35	50.3	65.6	65.4	#	#	37.1	9.0	9.0	#	18.1	#	18.1	24.1	0	B	1	0	0	193	4479	193	4293	0	3D37	590.4	588.6	1179
1	2026/09/02	17:36	48.3	62.9	62.9	#	#	38.0	9.5	9.6	#	18.5	#	18.5	24.1	0	B	1	1	0	194	4480	194	4294	0	D172	597.55	603.84	1201.39
1	2026/09/02	17:37	50.8	66.3	66.0	#	#	37.3	9.0	9.0	#	18.2	#	18.2	24.1	0	B	1	1	0	194	4480	194	4294	0	49C7	596.7	594	1190.7
1	2026/09/02	17:38	48.6	63.5	63.2	#	#	37.9	10.3	10.3	#	18.4	#	18.4	24.1	0	B	1	1	0	194	4480	194	4294	0	219C	654.05	650.96	1305.01
1	2026/09/02	17:39	49.9	65.0	64.7	#	#	38.8	10.3	10.3	#	19.0	#	19.0	24.1	0	B	1	0	0	195	4481	195	4295	0	E56C	669.5	666.41	1335.91
1	2026/09/02	17:40	49.6	65.4	64.9	#	#	43.1	10.2	10.3	#	21.0	#	21.0	24.1	0	B	1	1	0	195	4481	195	4295	0	A401	667.08	668.47	1335.55
1	2026/09/02	17:41	50.0	65.3	64.9	#	#	41.1	10.1	10.1	#	20.0	#	20.0	24.1	0	B	1	0	0	195	4481	195	4295	0	0140	659.53	655.49	1315.02
1	2026/09/02	17:42	48.5	63.5	63.2	#	#	43.0	10.4	10.5	#	21.0	#	21.0	24.1	0	B	1	1	0	196	4482	196	4296	0	7172	660.4	663.6	1324
1	2026/09/02	17:43	50.7	66.2	66.8	#	#	40.8	9.5	9.3	#	20.0	#	20.0	24.1	0	B	1	1	0	196	4482	196	4296	0	2131	628.9	621.24	1250.14
